ID,Tab,Field,Text,Translator Notes,Context
0,Setup Wizard,title,How the Setup Wizard Works,Short heading for this help item. Keep concise.,Short heading for this help item.
0,Setup Wizard,content,"The Setup Wizard appears the first time you run Aire, or when no AI providers are configured yet. Its job is to get you from a fresh install to a working chat as quickly as possible.

What the wizard does, step by step:
• Welcome: explains what Aire is and lets you choose the app language.
• Provider picker: shows common ways to connect Aire to AI services.
• Provider setup: asks for the details needed for the provider you picked.
• Finish: confirms Aire is ready and takes you to the main app.

If you are new to AI, the wizard is the best place to start. It uses the simplest path first and hides advanced settings until you need them.

You can skip setup and come back later, but you will need at least one configured provider before Aire can answer chat messages.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
0,Setup Wizard,imageCaption,The setup wizard helps you choose a provider before you start chatting.,Caption for an image shown in the help window.,Caption for an image.
0,Setup Wizard,links[0].label,Open the Setup Wizard,Translate the label; keep action unchanged.,Hyperlink label (action: onboarding)
0,Setup Wizard,links[1].label,Open AI setup,Translate the label; keep action unchanged.,Hyperlink label (action: settings:providers)
1,Setup Wizard,title,Choosing a Provider,Short heading for this help item. Keep concise.,Short heading for this help item.
1,Setup Wizard,content,"The provider picker is where you decide which AI service Aire will talk to on your behalf.

What the main options mean:
• OpenAI: a common starting point if you want a simple cloud setup and wide model support.
• Anthropic API: another strong cloud option, known for Claude models.
• Claude.ai: uses browser sign-in instead of an API key.
• Google AI: connects to Gemini chat models through Google AI Studio.
• Google AI Images: a dedicated Gemini image-generation setup.
• Ollama: runs models locally on your computer. Good for privacy and offline use, but it depends on your hardware.
• Codex: uses the local Codex CLI bridge instead of a normal API key.
• Groq, OpenRouter, DeepSeek, Inception, and z.ai: other providers or OpenAI-compatible endpoints, often useful if you already have an account there.

Which one should you choose?
• If you want the easiest cloud setup for chat: start with OpenAI, Anthropic, or Google AI.
• If you want local and private: choose Ollama.
• If you specifically want image generation from Gemini: choose Google AI Images.
• If you already pay for or use a specific provider elsewhere: choose that same provider here.

You are not locked in. The wizard helps you add one provider first, and you can add more later in Settings.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
1,Setup Wizard,links[0].label,Open the Setup Wizard,Translate the label; keep action unchanged.,Hyperlink label (action: onboarding)
1,Setup Wizard,links[1].label,platform.openai.com,Translate the label; keep action unchanged.,Hyperlink label (action: https://platform.openai.com)
1,Setup Wizard,links[2].label,console.anthropic.com,Translate the label; keep action unchanged.,Hyperlink label (action: https://console.anthropic.com)
1,Setup Wizard,links[3].label,aistudio.google.com,Translate the label; keep action unchanged.,Hyperlink label (action: https://aistudio.google.com)
2,Setup Wizard,title,Filling in Provider Details,Short heading for this help item. Keep concise.,Short heading for this help item.
2,Setup Wizard,content,"After you pick a provider, the wizard asks only for the details that provider needs.

Typical fields:
• Provider type: the service you want to use.
• Name: the label Aire will show in the chat window.
• API key: the secret token that lets Aire talk to the provider. Some providers use browser sign-in instead, and some local providers do not need an API key at all.
• Base URL: only needed for certain OpenAI-compatible services or self-hosted setups.
• Model: the specific AI model you want to use.

Provider-specific notes:
• Claude.ai uses browser sign-in instead of a normal API key.
• Ollama is local and usually works without an API key.
• Codex uses the local Codex CLI bridge, so the wizard can offer CLI installation instead of asking for a normal API key.
• Google AI Images is for image generation rather than normal chat.

The Test connection button is there to help you confirm the configuration before you finish. If the test succeeds, Aire can usually use that provider immediately.

Practical advice:
• If you are unsure which model to pick, start with the default suggestion.
• If you see an API-key field, paste the key exactly as provided by the service.
• If a provider offers both API access and browser sign-in, prefer API access if you want the most stable automation and integration behavior.

After you finish the wizard, you can still change any of these settings later in the AI Providers tab.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
2,Setup Wizard,imageCaption,"Provider setup step with the provider type, name, credentials, model, and connection test.",Caption for an image shown in the help window.,Caption for an image.
2,Setup Wizard,links[0].label,Open the Setup Wizard,Translate the label; keep action unchanged.,Hyperlink label (action: onboarding)
2,Setup Wizard,links[1].label,Open AI setup,Translate the label; keep action unchanged.,Hyperlink label (action: settings:providers)
3,Getting Started,title,Overview,Short heading for this help item. Keep concise.,Short heading for this help item.
3,Getting Started,content,"Aire is a desktop chat app that stays in your system tray until you need it. You can think of it as one chat window that can connect to many AI services.

If you are new to AI, the usual starting point is simple:
• Open AI setup.
• Add one provider, such as OpenAI, Anthropic, Google AI, or Ollama.
• Choose a model.
• Type a question in the chat box and press Enter.

What Aire can do:
• Talk to different AI services from one app.
• Save your conversations on your computer.
• Let the AI use tools, with your approval, to read files, run commands, browse pages, and more.
• Use voice input and voice output with Windows speech features.
• Let other local apps talk to Aire through the Local API.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
3,Getting Started,links[0].label,Set up your first AI,Translate the label; keep action unchanged.,Hyperlink label (action: settings:providers)
3,Getting Started,links[1].label,Change the look of Aire,Translate the label; keep action unchanged.,Hyperlink label (action: settings:appearance)
4,Getting Started,title,Tray Icon,Short heading for this help item. Keep concise.,Short heading for this help item.
4,Getting Started,content,"Aire runs in the system tray (bottom-right corner of the taskbar).

• Left-click or right-click the tray icon to open the chat window.
• Right-click the tray icon for options: Open, Settings, Exit.
• Closing the window hides it — Aire keeps running in the background.
• To quit completely, right-click the tray icon and choose Exit.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
5,Getting Started,title,Chat,Short heading for this help item. Keep concise.,Short heading for this help item.
5,Getting Started,content,"• Type your message in the input box at the bottom and press Enter to send.
• Press Shift+Enter to add a new line without sending.
• Press ↑ / ↓ to navigate through previous messages you’ve sent (only works when the cursor is on the first or last line of the input box).
• Drag and drop an image into the input box to attach it to your message (requires a vision-capable model).
• Press Ctrl+F to search within the conversation. Use ↑ / ↓ or the arrow buttons to jump between matches. Press Escape to close the search bar.
• Right-click the chat area to copy or save the conversation as a text file.
• The 🗑 button clears the current conversation (asks for confirmation first).
• The 💬 button in the sidebar opens your conversation history.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
5,Getting Started,imageCaption,"Main chat window with the provider selector, conversation area, search, and composer.",Caption for an image shown in the help window.,Caption for an image.
5,Getting Started,links[0].label,Open Providers,Translate the label; keep action unchanged.,Hyperlink label (action: settings:providers)
6,Getting Started,title,Keyboard Shortcuts,Short heading for this help item. Keep concise.,Short heading for this help item.
6,Getting Started,cols[0],Shortcut,Table column header.,Keep short and consistent.
6,Getting Started,cols[1],Action,Table column header.,Keep short and consistent.
6,Getting Started,rows[0][0],Enter,Table cell content.,May contain placeholders.
6,Getting Started,rows[0][1],Send message,Table cell content.,May contain placeholders.
6,Getting Started,rows[1][0],Shift+Enter,Table cell content.,May contain placeholders.
6,Getting Started,rows[1][1],New line in the input box,Table cell content.,May contain placeholders.
6,Getting Started,rows[2][0],↑ / ↓,Table cell content.,May contain placeholders.
6,Getting Started,rows[2][1],Navigate message history (when cursor is on first/last line),Table cell content.,May contain placeholders.
6,Getting Started,rows[3][0],Ctrl+F,Table cell content.,May contain placeholders.
6,Getting Started,rows[3][1],Search conversation,Table cell content.,May contain placeholders.
6,Getting Started,rows[4][0],Ctrl+Scroll,Table cell content.,May contain placeholders.
6,Getting Started,rows[4][1],Adjust font size,Table cell content.,May contain placeholders.
6,Getting Started,rows[5][0],Escape,Table cell content.,May contain placeholders.
6,Getting Started,rows[5][1],Close search bar / dismiss dialog,Table cell content.,May contain placeholders.
7,Getting Started,title,Tips,Short heading for this help item. Keep concise.,Short heading for this help item.
7,Getting Started,content,"• You can have multiple AI providers configured and switch between them at the top of the chat window. Each conversation remembers its provider and assistant mode.
• Resize the window by dragging any edge, including the top.
• Conversations and settings are stored locally under %LOCALAPPDATA%\Aire.
• The AI can request tools for files, commands, browser actions, and more, but Aire still asks for approval unless an auto-accept rule applies.
• If an AI response is cut off, the model may have hit its token or output limit. Ask it to continue, reduce the size of the task, or use a model with a larger context window.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
8,Getting Started,title,Assistant Modes,Short heading for this help item. Keep concise.,Short heading for this help item.
8,Getting Started,content,"The mode button in the main header changes how Aire frames your request before it sends it to the provider.

Current modes include Architect, Creative writer, Developer, General, Painter, Philosopher, Psychologist, Scientist, Security, and Teacher.

What modes do:
• They adjust the style and priorities of the assistant.
• The selected mode is saved per conversation, so different chats can keep different roles.
• General is the default for new conversations.
• Different providers still keep their own quirks, but Aire passes the selected mode consistently as shared guidance.

Practical examples:
• Developer: better for code, debugging, and terminal tasks.
• Architect: better for structure, trade-offs, and planning.
• Teacher: better for explanations and step-by-step guidance.
• Painter: best for image-oriented prompting and generation when the current provider supports it.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
8,Getting Started,imageCaption,Assistant mode menu opened from the main header. Each conversation keeps its own mode.,Caption for an image shown in the help window.,Caption for an image.
9,Tools & Voice,title,Tool Categories,Short heading for this help item. Keep concise.,Short heading for this help item.
9,Tools & Voice,content,"The wrench button near the chat box controls which categories of tools the current provider is allowed to use.

How it works:
• Click the wrench button to open the categories menu.
• Turn on only the categories you want the AI to be able to request.
• Choose No tools if you want a text-only conversation.
• Aire remembers your selected tool categories and uses them as part of the current tool policy.

Why this matters:
• Fewer enabled categories make tool use easier to understand.
• Restricting categories can reduce risk and accidental side effects.
• If a provider does not support tools, the wrench button is hidden.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
9,Tools & Voice,imageCaption,"Tools menu opened from the composer. You can enable all categories, disable all, or choose only the categories you want.",Caption for an image shown in the help window.,Caption for an image.
10,Providers,title,AI Providers,Short heading for this help item. Keep concise.,Short heading for this help item.
10,Providers,content,"A provider is the AI service Aire talks to on your behalf. Most users only need to set up one provider to get started.

Each provider entry has four main parts:
• Name: the label you will see inside Aire.
• Type: which AI service to use.
• Model: the specific model you want that service to run.
• Credentials: usually an API key, or for Claude.ai a browser sign-in.

Common choices:
• OpenAI: paste your API key from platform.openai.com.
• Anthropic: sign in with Claude.ai in the browser, or paste an Anthropic API key.
• Google AI: paste your Gemini API key from aistudio.google.com.
• Ollama: use a local Ollama server on your own machine. No API key is needed.
• OpenAI-compatible endpoints: services like Groq, Mistral, OpenRouter, DeepSeek, or LM Studio can often work by setting the Base URL.

If you are unsure which one to use, OpenAI or Anthropic are usually the easiest cloud options, while Ollama is the usual local option.

Providers can be enabled or disabled without deleting them. Changes save automatically.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
10,Providers,imageCaption,Provider settings with the provider list on the left and the selected provider form on the right.,Caption for an image shown in the help window.,Caption for an image.
10,Providers,links[0].label,Open AI setup,Translate the label; keep action unchanged.,Hyperlink label (action: settings:providers)
10,Providers,links[1].label,platform.openai.com,Translate the label; keep action unchanged.,Hyperlink label (action: https://platform.openai.com)
10,Providers,links[2].label,console.anthropic.com,Translate the label; keep action unchanged.,Hyperlink label (action: https://console.anthropic.com)
10,Providers,links[3].label,aistudio.google.com,Translate the label; keep action unchanged.,Hyperlink label (action: https://aistudio.google.com)
11,Providers,title,Tool Calling Modes,Short heading for this help item. Keep concise.,Short heading for this help item.
11,Providers,intro,"Aire supports two methods for giving an AI model access to tools. The mode is chosen automatically based on the provider type, but can be overridden per model in a custom JSON file (see Custom Models).",Introductory text above a table.,Introductory text above a table.
11,Providers,cols[0],Mode,Table column header.,Keep short and consistent.
11,Providers,cols[1],How it works,Table column header.,Keep short and consistent.
11,Providers,rows[0][0],"Text-based
(default: OpenAI, Anthropic)",Table cell content.,May contain placeholders.
11,Providers,rows[0][1],Tool descriptions are embedded in the system prompt. The AI responds with a <tool_call> XML block. Works with any model that follows instructions reliably.,Table cell content.,May contain placeholders.
11,Providers,rows[1][0],"Native function calling
(default: Ollama, Google AI)",Table cell content.,May contain placeholders.
11,Providers,rows[1][1],Structured tool schemas are sent via the provider API. The AI returns structured function-call objects. More accurate. Requires explicit API support.,Table cell content.,May contain placeholders.
11,Providers,rows[2][0],Unsupported,Table cell content.,May contain placeholders.
11,Providers,rows[2][1],The model cannot use tools. Set this in a custom model file to skip tool prompts for models that get confused by them.,Table cell content.,May contain placeholders.
12,Providers,title,Provider & Model Compatibility,Short heading for this help item. Keep concise.,Short heading for this help item.
12,Providers,intro,Use the Capability Tests button to verify your specific provider and model combination.,Introductory text above a table.,Introductory text above a table.
12,Providers,cols[0],Provider / Endpoint,Table column header.,Keep short and consistent.
12,Providers,cols[1],Mode,Table column header.,Keep short and consistent.
12,Providers,cols[2],Notes,Table column header.,Keep short and consistent.
12,Providers,rows[0][0],OpenAI,Table cell content.,May contain placeholders.
12,Providers,rows[0][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[0][2],"GPT-4o, GPT-4.1, GPT-4o-mini — reliable tool support",Table cell content.,May contain placeholders.
12,Providers,rows[1][0],Anthropic,Table cell content.,May contain placeholders.
12,Providers,rows[1][1],Text-based,Table cell content.,May contain placeholders.
12,Providers,rows[1][2],Claude 3.5 Sonnet and newer — excellent instruction following,Table cell content.,May contain placeholders.
12,Providers,rows[2][0],Google AI (Gemini),Table cell content.,May contain placeholders.
12,Providers,rows[2][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[2][2],Gemini 2.0 Flash and newer recommended,Table cell content.,May contain placeholders.
12,Providers,rows[3][0],Ollama (local),Table cell content.,May contain placeholders.
12,Providers,rows[3][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[3][2],"qwen2.5-coder, llama3.1, mistral-nemo work well; small models vary",Table cell content.,May contain placeholders.
12,Providers,rows[4][0],Groq (OpenAI + Base URL),Table cell content.,May contain placeholders.
12,Providers,rows[4][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[4][2],Base URL: https://api.groq.com/openai/v1 — very fast,Table cell content.,May contain placeholders.
12,Providers,rows[5][0],Mistral (OpenAI + Base URL),Table cell content.,May contain placeholders.
12,Providers,rows[5][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[5][2],Base URL: https://api.mistral.ai/v1,Table cell content.,May contain placeholders.
12,Providers,rows[6][0],OpenRouter (OpenAI + Base URL),Table cell content.,May contain placeholders.
12,Providers,rows[6][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[6][2],Base URL: https://openrouter.ai/api/v1 — 100+ models,Table cell content.,May contain placeholders.
12,Providers,rows[7][0],DeepSeek (OpenAI + Base URL),Table cell content.,May contain placeholders.
12,Providers,rows[7][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[7][2],Base URL: https://api.deepseek.com/v1,Table cell content.,May contain placeholders.
12,Providers,rows[8][0],LM Studio (OpenAI + Base URL),Table cell content.,May contain placeholders.
12,Providers,rows[8][1],Native,Table cell content.,May contain placeholders.
12,Providers,rows[8][2],Base URL: http://localhost:1234/v1 — enable function calling in LM Studio settings,Table cell content.,May contain placeholders.
13,Providers,title,Capability Tests,Short heading for this help item. Keep concise.,Short heading for this help item.
13,Providers,content,"The Run Tests button checks what the selected provider and model can really do.

What is tested:
• Tool-call capability tests check whether the model asks for the expected Aire tool. No real file, browser, or system action is executed.
• Image-generation capability tests call the provider's image-generation path directly. These tests can consume provider quota and may fail if your account or model does not support image generation.

How to use it:
• Open Settings ⚙ → select a provider → click Run Tests.
• The provider form is locked during the run to avoid configuration changes mid-test.
• Results are cached per provider/model combination and reload quickly next time.

Reading results:
• ✓ (green) — the provider handled the capability correctly.
• ✗ (red) — the provider or model failed that capability.
• If the message mentions quota, balance, or rate limits, the failure is coming from the provider account rather than from Aire itself.

If a model fails many tool tests, try another model or adjust its custom model metadata. If image generation fails, verify that the provider account, model, and quota actually allow it.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
13,Providers,links[0].label,Open AI setup,Translate the label; keep action unchanged.,Hyperlink label (action: settings:providers)
14,Providers,title,Custom Models,Short heading for this help item. Keep concise.,Short heading for this help item.
14,Providers,content,"{
  ""providerType"": ""OpenAI"",
  ""models"": [
    {
      ""id"": ""gpt-4o"",
      ""displayName"": ""GPT-4o"",
      ""capabilities"": [""vision"", ""tools""]
    },
    {
      ""id"": ""o1-mini"",
      ""displayName"": ""o1-mini (no tools)"",
      ""capabilities"": [""toolcallmode:unsupported""]
    },
    {
      ""id"": ""my-fine-tuned-model"",
      ""displayName"": ""My Fine-tune"",
      ""capabilities"": [""tools"", ""toolcallmode:text""]
    }
  ]
}",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
